run_date,exchange,ticker,sharpe_ratio,cagr_pct,max_drawdown_pct,avg_exposure,num_trades,status
2026-08-29,JSE,NPN,2.767,65.81,-7.03,0.4429,51,ok
2026-08-29,NGX,DANGCEM,-2.019,-55.95,-39.06,0.5786,35,ok
2026-08-29,NSE_KE,SCOM,0.193,-0.94,-25.33,0.5857,42,ok
2026-08-29,EGX,COMI,0.836,21.06,-16.61,0.3143,37,ok
2026-08-29,GSE,MTNGH,-0.358,-13.67,-21.93,0.4071,38,ok
2026-08-29,BRVM,SNTS,-2.736,-55.24,-38.03,0.6286,57,ok
2026-08-29,CSE_MA,IAM,-0.207,-11.08,-25.82,0.4571,51,ok
2026-08-30,JSE,NPN,0.568,9.95,-14.47,0.3857,62,ok
2026-08-30,NGX,DANGCEM,1.119,21.74,-12.63,0.5143,43,ok
2026-08-30,NSE_KE,SCOM,-0.044,-3.16,-12.9,0.3571,32,ok
2026-08-30,EGX,COMI,-0.959,-20.58,-16.41,0.5071,53,ok
2026-08-30,GSE,MTNGH,2.348,53.17,-6.21,0.4714,51,ok
2026-08-30,BRVM,SNTS,1.042,16.25,-7.47,0.3857,28,ok
2026-08-30,CSE_MA,IAM,-0.485,-10.27,-13.42,0.2929,49,ok
2026-08-31,JSE,NPN,-0.301,-12.21,-27.24,0.5714,39,ok
2026-08-31,NGX,DANGCEM,0.871,26.29,-11.9,0.45,52,ok
2026-08-31,NSE_KE,SCOM,-1.186,-43.89,-47.08,0.6071,54,ok
2026-08-31,EGX,COMI,0.283,4.1,-17.13,0.5357,51,ok
2026-08-31,GSE,MTNGH,0.822,16.06,-32.15,0.6786,45,ok
2026-08-31,BRVM,SNTS,1.767,53.21,-12.8,0.55,38,ok
2026-08-31,CSE_MA,IAM,0.591,9.34,-29.61,0.6571,53,ok
2026-09-01,JSE,NPN,1.536,43.58,-21.94,0.3957,50,ok
2026-09-01,NGX,DANGCEM,-0.019,-0.93,-22.58,0.6214,32,ok
2026-09-01,NSE_KE,SCOM,-0.472,-21.62,-26.85,0.5214,42,ok
2026-09-01,EGX,COMI,-2.149,-42.7,-31.41,0.5857,53,ok
2026-09-01,GSE,MTNGH,1.542,40.89,-7.27,0.4286,48,ok
2026-09-01,BRVM,SNTS,0.042,-0.76,-18.8,0.3643,68,ok
2026-09-01,CSE_MA,IAM,-0.786,-12.03,-13.55,0.3857,68,ok
2026-09-02,JSE,NPN,1.581,28.89,-9.77,0.35,51,ok
2026-09-02,NGX,DANGCEM,0.803,19.71,-14.05,0.6286,52,ok
2026-09-02,NSE_KE,SCOM,-2.495,-63.51,-42.88,0.5857,45,ok
2026-09-02,EGX,COMI,2.806,49.77,-7.19,0.4357,58,ok
2026-09-02,GSE,MTNGH,1.031,18.21,-11.8,0.2571,45,ok
2026-09-02,BRVM,SNTS,-0.122,-3.17,-13.33,0.5429,55,ok
2026-09-02,CSE_MA,IAM,1.142,27.84,-11.9,0.4571,41,ok
